"Name","Category","Brand","Color","Audience","Price USD","Image Link","Description","Generic Colors"
"Jordan Spizike Low","Basketball","Jordan","White / Cool Grey / Anthracite","Men's","144.99","https://images.footlocker.com/is/image/EBFL2/Q1759102?wid=250&hei=250","The Jordan Spizike blends elements from multiple classic Air Jordan models. Featuring premium construction and hybrid design, it delivers unique style with comfortable performance.","White / Grey / Anthracite"
"Jordan Spizike Low","Basketball","Jordan","White / Midnight Navy / Neutral Grey","Men's","149.99","https://images.footlocker.com/is/image/EBFL2/Q1759140?wid=250&hei=250","The Jordan Spizike blends elements from multiple classic Air Jordan models. Featuring premium construction and hybrid design, it delivers unique style with comfortable performance.","White / Blue / Grey"
"Nike Air Force 1 Low '07","Lifestyle","Nike","Black / White / Black","Men's","115","https://images.footlocker.com/is/image/EBFL2/V0788001?wid=250&hei=250","The Air Force 1 is Nike's iconic basketball-turned-lifestyle sneaker. Featuring premium leather construction and Air cushioning, it delivers timeless style with all-day comfort.","Black / White / Black"
"New Balance 9060","Running","New Balance","White / Grey / Beige","Men's","160","https://images.footlocker.com/is/image/EBFL2/U9060ECU?wid=250&hei=250","The 9060 features New Balance's innovative cushioning technology and contemporary design. With premium materials and modern styling, it delivers comfort with street-ready appeal.","White / Grey / Brown"
"New Balance 740","Lifestyle","New Balance","Mercury Red / Castlerock / White","Men's","94.99","https://images.footlocker.com/is/image/EBFL2/U740RD2?wid=250&hei=250","The New Balance 740 features New Balance's signature comfort technology and quality construction. With premium materials and supportive design, it delivers performance with everyday style.","Red / Castlerock / White"
"New Balance 574","Lifestyle","New Balance","Dark Mushroom / Angora","Men's","64.99","https://images.footlocker.com/is/image/EBFL2/U574RBI?wid=250&hei=250","The New Balance 574 features New Balance's signature comfort technology and quality construction. With premium materials and supportive design, it delivers performance with everyday style.","Brown / Angora"
"New Balance 1906R","Lifestyle","New Balance","White / Silver / Black","Men's","155","https://images.footlocker.com/is/image/EBFL2/M1906RER?wid=250&hei=250","The New Balance 1906R features New Balance's signature comfort technology and quality construction. With premium materials and supportive design, it delivers performance with everyday style.","White / Grey / Black"
"Nike Shox R4","Soccer","Nike","University Red / Black / Metallic Silver","Men's","139.99","https://images.footlocker.com/is/image/EBFL2/Q1988600?wid=250&hei=250","The Nike Shox R4 features precision-engineered design for soccer performance. Built with quality materials and supportive fit, it delivers field-ready style with athletic comfort.","Red / Black / Grey"
"Jordan Retro 5 OG","Basketball","Jordan","White / Grape Ice / Black","Men's","194.99","https://images.footlocker.com/is/image/EBFL2/Q7978100?wid=250&hei=250","The Air Jordan 5 showcases a fighter jet-inspired design with reflective tongue. Featuring premium construction and Air cushioning, it offers bold style with superior comfort.","White / Purple / Black"
"New Balance 1906R","Lifestyle","New Balance","Silver / White / Green","Men's","134.99","https://images.footlocker.com/is/image/EBFL2/M1906REE?wid=250&hei=250","The New Balance 1906R features New Balance's signature comfort technology and quality construction. With premium materials and supportive design, it delivers performance with everyday style.","Grey / White / Green"
"Nike Air Max 90","Running","Nike","White / White / Wolf Grey","Men's","135","https://images.footlocker.com/is/image/EBFL2/N8490100?wid=250&hei=250","The Air Max 90 features Nike's iconic visible Air cushioning and premium construction. With breathable materials and classic design, it delivers retro style with modern comfort.","White / White / Grey"
"Jordan Air Jordan 1 Low SE","Basketball","Jordan","Medium Grey / Cool Grey / White","Men's","109.99","https://images.footlocker.com/is/image/EBFL2/F3148011?wid=250&hei=250","The Jordan Air Jordan 1 Low SE features premium Jordan construction and classic basketball styling. Built for comfort and durability, it delivers authentic Jordan heritage with modern appeal.","Grey / Grey / White"
"Nike Calm Slides","Lifestyle","Nike","Black / Black","Men's","55","https://images.footlocker.com/is/image/EBFL2/D4116001?wid=250&hei=250","The Nike Calm Slides features premium construction and contemporary design. Built with quality materials and comfortable fit, it delivers versatile style with everyday appeal.","Black / Black"
"New Balance 1906R","Lifestyle","New Balance","Teal Green / Silver","Men's","114.99","https://images.footlocker.com/is/image/EBFL2/U1906RCE?wid=250&hei=250","The New Balance 1906R features New Balance's signature comfort technology and quality construction. With premium materials and supportive design, it delivers performance with everyday style.","Blue / Grey"
"Nike Air Force 1 '07","Lifestyle","Nike","Brown / White / White","Men's","115","https://images.footlocker.com/is/image/EBFL2/D2739100?wid=250&hei=250","The Air Force 1 is Nike's iconic basketball-turned-lifestyle sneaker. Featuring premium leather construction and Air cushioning, it delivers timeless style with all-day comfort.","Brown / White / White"
"PUMA LaFrance 3x Black","Soccer","Puma","Black / Black / Black","Men's","115","https://images.footlocker.com/is/image/EBFL2/31308101?wid=250&hei=250","The PUMA LaFrance 3x Black features Puma's athletic design and quality construction. Built with premium materials and comfortable fit, it delivers sport-inspired style with everyday performance.","Black / Black / Black"
"New Balance 740","Lifestyle","New Balance","Dark Shoreline Blue","Men's","115","https://images.footlocker.com/is/image/EBFL2/U740DT2?wid=250&hei=250","The New Balance 740 features New Balance's signature comfort technology and quality construction. With premium materials and supportive design, it delivers performance with everyday style.","Blue"
"New Balance 9060","Running","New Balance","Black / Grey / Grey","Men's","160","https://images.footlocker.com/is/image/EBFL2/U9060ERA?wid=250&hei=250","The 9060 features New Balance's innovative cushioning technology and contemporary design. With premium materials and modern styling, it delivers comfort with street-ready appeal.","Black / Grey / Grey"
"New Balance 740","Lifestyle","New Balance","Black / Black","Men's","115","https://images.footlocker.com/is/image/EBFL2/U740BO2?wid=250&hei=250","The New Balance 740 features New Balance's signature comfort technology and quality construction. With premium materials and supportive design, it delivers performance with everyday style.","Black / Black"
"Nike P-6000 Fade","Lifestyle","Nike","Metallic Silver / Summit White","Men's","125","https://images.footlocker.com/is/image/EBFL2/H4465095?wid=250&hei=250","The Nike P-6000 Fade features premium construction and contemporary design. Built with quality materials and comfortable fit, it delivers versatile style with everyday appeal.","Grey / White"
"Nike Air Max 90","Running","Nike","Light Smoke Grey / White / Lightning","Men's","114.99","https://images.footlocker.com/is/image/EBFL2/M0029111?wid=250&hei=250","The Air Max 90 features Nike's iconic visible Air cushioning and premium construction. With breathable materials and classic design, it delivers retro style with modern comfort.","Grey / White / Lightning"
"Nike Air Max 90","Running","Nike","Black / Black / Black","Men's","135","https://images.footlocker.com/is/image/EBFL2/N8490003?wid=250&hei=250","The Air Max 90 features Nike's iconic visible Air cushioning and premium construction. With breathable materials and classic design, it delivers retro style with modern comfort.","Black / Black / Black"
"Nike Shox R4","Soccer","Nike","Black / Black / Black","Men's","155","https://images.footlocker.com/is/image/EBFL2/Q1988001?wid=250&hei=250","The Nike Shox R4 features precision-engineered design for soccer performance. Built with quality materials and supportive fit, it delivers field-ready style with athletic comfort.","Black / Black / Black"
"New Balance 740","Lifestyle","New Balance","Concord Grape / Purple Fuchsia / Sun Glow","Men's","99.99","https://images.footlocker.com/is/image/EBFL2/740MC2?wid=250&hei=250","The New Balance 740 features New Balance's signature comfort technology and quality construction. With premium materials and supportive design, it delivers performance with everyday style.","Purple / Purple / Sun Glow"
"New Balance 574","Lifestyle","New Balance","Indigo / Sea Salt","Men's","89.99","https://images.footlocker.com/is/image/EBFL2/U574BCE?wid=250&hei=250","The New Balance 574 features New Balance's signature comfort technology and quality construction. With premium materials and supportive design, it delivers performance with everyday style.","Blue / Sea Salt"
"Nike Air Force 1 '07","Lifestyle","Nike","White / Black","Men's","115","https://images.footlocker.com/is/image/EBFL2/C2302100?wid=250&hei=250","The Air Force 1 is Nike's iconic basketball-turned-lifestyle sneaker. Featuring premium leather construction and Air cushioning, it delivers timeless style with all-day comfort.","White / Black"
"New Balance 574","Lifestyle","New Balance","Black / Black","Men's","100","https://images.footlocker.com/is/image/EBFL2/ML574EVE?wid=250&hei=250","The New Balance 574 features New Balance's signature comfort technology and quality construction. With premium materials and supportive design, it delivers performance with everyday style.","Black / Black"
"Jordan AJ 1 Low","Basketball","Jordan","White / Black / Starfish","Men's","120","https://images.footlocker.com/is/image/EBFL2/53558081?wid=250&hei=250","The Jordan AJ 1 Low features premium Jordan construction and classic basketball styling. Built for comfort and durability, it delivers authentic Jordan heritage with modern appeal.","White / Black / Starfish"
"New Balance 1906R","Lifestyle","New Balance","Black / Silver","Men's","155","https://images.footlocker.com/is/image/EBFL2/1906ROS?wid=250&hei=250","The New Balance 1906R features New Balance's signature comfort technology and quality construction. With premium materials and supportive design, it delivers performance with everyday style.","Black / Grey"
"Nike V2K Run","Lifestyle","Nike","Summit White / Metallic Silver","Men's","89.99","https://images.footlocker.com/is/image/EBFL2/H4497100?wid=250&hei=250","The Nike V2K Run features premium construction and contemporary design. Built with quality materials and comfortable fit, it delivers versatile style with everyday appeal.","White / Grey"
"New Balance 9060","Running","New Balance","Salt Marsh / Turtledove / New Spruce","Men's","109.99","https://images.footlocker.com/is/image/EBFL2/9060FG?wid=250&hei=250","The 9060 features New Balance's innovative cushioning technology and contemporary design. With premium materials and modern styling, it delivers comfort with street-ready appeal.","Salt Marsh / Turtledove / New Spruce"
"Nike Air Max Plus","Running","Nike","Black / Opti Yellow / Wolf Grey","Men's","149.99","https://images.footlocker.com/is/image/EBFL2/M0032012?wid=250&hei=250","The Air Max features Nike's signature visible Air cushioning technology. Built with premium materials and classic styling, it delivers comfort and performance with iconic design.","Black / Yellow / Grey"
"Jordan Retro 1 High OG","Basketball","Jordan","Black / Red / White","Men's","180","https://images.footlocker.com/is/image/EBFL2/Z5485061?wid=250&hei=250","The Air Jordan 1 is the iconic basketball sneaker that started it all. Featuring premium leather construction and classic silhouette, it delivers timeless style with modern comfort.","Black / Red / White"
"Nike Air Max 1","Running","Nike","White / Black","Men's","140","https://images.footlocker.com/is/image/EBFL2/Z5808101?wid=250&hei=250","The Air Max features Nike's signature visible Air cushioning technology. Built with premium materials and classic styling, it delivers comfort and performance with iconic design.","White / Black"
"New Balance 9060","Running","New Balance","Pink / Brown","Men's","109.99","https://images.footlocker.com/is/image/EBFL2/59060GEA?wid=250&hei=250","The 9060 features New Balance's innovative cushioning technology and contemporary design. With premium materials and modern styling, it delivers comfort with street-ready appeal.","Purple / Brown"
"adidas Originals Samba","Lifestyle","adidas","Clear Granite / Cloud White / Core Black","Men's","100","https://images.footlocker.com/is/image/EBFL2/B75806?wid=250&hei=250","The adidas Originals Samba features adidas' quality construction and athletic heritage design. Built with premium materials and comfortable fit, it delivers performance style with everyday appeal.","Clear Granite / White / Black"
"New Balance 9060","Running","New Balance","Grey / Grey","Men's","160","https://images.footlocker.com/is/image/EBFL2/U9060GRY?wid=250&hei=250","The 9060 features New Balance's innovative cushioning technology and contemporary design. With premium materials and modern styling, it delivers comfort with street-ready appeal.","Grey / Grey"
"ASICS GEL-1130","Running","ASICS","Clay Canyon / White","Men's","100","https://images.footlocker.com/is/image/EBFL2/1A256113?wid=250&hei=250","The ASICS GEL-1130 features advanced cushioning technology and lightweight construction. Built for running performance and comfort, it delivers athletic style with responsive feel.","Clay Canyon / White"
"New Balance 9060","Running","New Balance","Grey / White / Grey","Men's","160","https://images.footlocker.com/is/image/EBFL2/U9060ERD?wid=250&hei=250","The 9060 features New Balance's innovative cushioning technology and contemporary design. With premium materials and modern styling, it delivers comfort with street-ready appeal.","Grey / White / Grey"
"Nike P-6000 Met","Lifestyle","Nike","Black / Metallic Gold / Infinite Gold","Men's","110","https://images.footlocker.com/is/image/EBFL2/Q3030700?wid=250&hei=250","The Nike P-6000 Met features premium construction and contemporary design. Built with quality materials and comfortable fit, it delivers versatile style with everyday appeal.","Black / Yellow / Yellow"
"Nike Air Max 90","Running","Nike","Iron Grey / Dark Smoke Grey / White","Men's","135","https://images.footlocker.com/is/image/EBFL2/N8490002?wid=250&hei=250","The Air Max 90 features Nike's iconic visible Air cushioning and premium construction. With breathable materials and classic design, it delivers retro style with modern comfort.","Grey / Grey / White"
"Nike Dunk Low Retro","Basketball","Nike","Carolina / White / Red","Men's","99.99","https://images.footlocker.com/is/image/EBFL2/V0833113?wid=250&hei=250","The Dunk features classic basketball-inspired design with premium construction. Built with quality materials and supportive fit, it delivers versatile style with comfortable wear.","Carolina / White / Red"
"Nike Air Max 270","Running","Nike","Black / Black / Black","Men's","170","https://images.footlocker.com/is/image/EBFL2/H8050005?wid=250&hei=250","The Air Max features Nike's signature visible Air cushioning technology. Built with premium materials and classic styling, it delivers comfort and performance with iconic design.","Black / Black / Black"
"Jordan AJ1 Low SE","Basketball","Jordan","White / Black","Men's","130","https://images.footlocker.com/is/image/EBFL2/V1309100?wid=250&hei=250","The Jordan AJ1 Low SE features premium Jordan construction and classic basketball styling. Built for comfort and durability, it delivers authentic Jordan heritage with modern appeal.","White / Black"
"New Balance 2002R","Running","New Balance","Black / Gray","Men's","145","https://images.footlocker.com/is/image/EBFL2/M2002RBL?wid=250&hei=250","The New Balance 2002R features New Balance's signature comfort technology and quality construction. With premium materials and supportive design, it delivers performance with everyday style.","Black / Grey"
"Nike Vomero 5","Lifestyle","Nike","White / Racer Blue","Men's","170","https://images.footlocker.com/is/image/EBFL2/I1694100?wid=250&hei=250","The Nike Vomero 5 features premium construction and contemporary design. Built with quality materials and comfortable fit, it delivers versatile style with everyday appeal.","White / Blue"
"New Balance 9060","Running","New Balance","Dark Mushroom / Black / Grey","Men's","134.99","https://images.footlocker.com/is/image/EBFL2/U9060FMB?wid=250&hei=250","The 9060 features New Balance's innovative cushioning technology and contemporary design. With premium materials and modern styling, it delivers comfort with street-ready appeal.","Brown / Black / Grey"
"Mizuno Wave Prophecy 14","Lifestyle","Mizuno","Black / Gold","Men's","250","https://images.footlocker.com/is/image/EBFL2/15049074?wid=250&hei=250","The Mizuno Wave Prophecy 14 features premium construction and contemporary design. Built with quality materials and comfortable fit, it delivers versatile style with everyday appeal.","Black / Yellow"
"New Balance 2002R","Running","New Balance","Green / Black / White","Men's","109.99","https://images.footlocker.com/is/image/EBFL2/M2002RZD?wid=250&hei=250","The New Balance 2002R features New Balance's signature comfort technology and quality construction. With premium materials and supportive design, it delivers performance with everyday style.","Green / Black / White"
"Nike V2K Run","Lifestyle","Nike","Spruce / Green","Men's","89.99","https://images.footlocker.com/is/image/EBFL2/J4497300?wid=250&hei=250","The Nike V2K Run features premium construction and contemporary design. Built with quality materials and comfortable fit, it delivers versatile style with everyday appeal.","Spruce / Green"
"Nike Vomero 5","Lifestyle","Nike","Metallic Silver / Dark Grey / Black","Men's","170","https://images.footlocker.com/is/image/EBFL2/I1694001?wid=250&hei=250","The Nike Vomero 5 features premium construction and contemporary design. Built with quality materials and comfortable fit, it delivers versatile style with everyday appeal.","Grey / Grey / Black"
"New Balance 550","Lifestyle","New Balance","Navy / Electric Sky","Men's","89.99","https://images.footlocker.com/is/image/EBFL2/BB550FLA?wid=250&hei=250","The New Balance 550 features New Balance's signature comfort technology and quality construction. With premium materials and supportive design, it delivers performance with everyday style.","Blue / Electric Sky"
"Jordan Retro 3","Basketball","Jordan","Summit White / Hydrogen Blue / Photon Dust","Men's","200","https://images.footlocker.com/is/image/EBFL2/T8532101?wid=250&hei=250","The Air Jordan 3 revolutionized basketball footwear with its elephant print design. Featuring visible Air cushioning and premium materials, it combines heritage style with performance comfort.","White / Blue / Photon Dust"
"Nike Shox R4","Soccer","Nike","Metallic Silver / Metallic Silver / Picante Red","Men's","155","https://images.footlocker.com/is/image/EBFL2/Q1988002?wid=250&hei=250","The Nike Shox R4 features precision-engineered design for soccer performance. Built with quality materials and supportive fit, it delivers field-ready style with athletic comfort.","Grey / Grey / Red"
"Jordan Retro 3","Basketball","Jordan","Fire Red / Summit White / Black","Men's","210","https://images.footlocker.com/is/image/EBFL2/N3707100?wid=250&hei=250","The Air Jordan 3 revolutionized basketball footwear with its elephant print design. Featuring visible Air cushioning and premium materials, it combines heritage style with performance comfort.","Red / White / Black"
"Nike V2K Run","Lifestyle","Nike","Wolf Grey / Midnight Navy / Cool Grey","Men's","89.99","https://images.footlocker.com/is/image/EBFL2/J4497002?wid=250&hei=250","The Nike V2K Run features premium construction and contemporary design. Built with quality materials and comfortable fit, it delivers versatile style with everyday appeal.","Grey / Blue / Grey"
